"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","POST /api/users - validation error (missing name)","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/CreateUsers.spec.js","",""
"","6","POST /api/users - validation error (missing name and email)","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/CreateUsers.spec.js","",""
"","18","Authentication with wrong token should return 401","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/AuthTests.spec.js","",""
"","12","GET /api/users/:id - User not found. Testing with an invalid userId","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:08 PDT 2025","User API","apiTests/GetUsers.spec.js","",""
"","21","Create transaction - success","chromium","Mon Sep 29 23:08:08 PDT 2025","passed","Mon Sep 29 23:08:08 PDT 2025","Transaction API","apiTests/TransactionTests.spec.js","",""
"","829","User registration flow - Email missing","chromium","Mon Sep 29 23:08:11 PDT 2025","passed","Mon Sep 29 23:08:12 PDT 2025","UI Tests - User Regestration","uiTests/CreateUserTest.spec.js","",""
"","18","Authentication with empty token should return 401","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/AuthTests.spec.js","",""
"","3","GET /api/users/:id - Happy Path-Testing with correct userid","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/GetUsers.spec.js","",""
"","9","POST /api/users - duplicate email -> 409","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/CreateUsers.spec.js","",""
"","4","DELETE /api/users/:id - not found. Testing with an invalid userId","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/DeleteUsers.spec.js","",""
"","1772","Transaction creation flow - Happy Path","chromium","Mon Sep 29 23:08:08 PDT 2025","passed","Mon Sep 29 23:08:09 PDT 2025","Create Transaction Tests ","uiTests/CreateTransactionTest.spec.js","",""
"","13","Authentication - Happy Path. GET users API passess with correct token","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/AuthTests.spec.js","",""
"","1765","Transaction with invalid user IDs shows error","chromium","Mon Sep 29 23:08:08 PDT 2025","passed","Mon Sep 29 23:08:09 PDT 2025","Create Transaction Tests ","uiTests/CreateTransactionTest.spec.js","",""
"","7","POST /api/users - validation error (missing email)","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/CreateUsers.spec.js","",""
"","17","POST /api/users - success","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/CreateUsers.spec.js","",""
"","12","Get user transactions - empty list or created items","chromium","Mon Sep 29 23:08:08 PDT 2025","passed","Mon Sep 29 23:08:08 PDT 2025","Transaction API","apiTests/TransactionTests.spec.js","",""
"","19","DELETE /api/users/:id - Happy Path-Testing with correct userid","chromium","Mon Sep 29 23:08:07 PDT 2025","passed","Mon Sep 29 23:08:07 PDT 2025","User API","apiTests/DeleteUsers.spec.js","",""
"","9","Create transaction - validation error (missing fields)","chromium","Mon Sep 29 23:08:08 PDT 2025","passed","Mon Sep 29 23:08:08 PDT 2025","Transaction API","apiTests/TransactionTests.spec.js","",""
"","848","User registration flow - Name and Email missing","chromium","Mon Sep 29 23:08:11 PDT 2025","passed","Mon Sep 29 23:08:12 PDT 2025","UI Tests - User Regestration","uiTests/CreateUserTest.spec.js","",""
"","1768","Transaction creation flow - shows error on invalid payload(User not existing)","chromium","Mon Sep 29 23:08:08 PDT 2025","passed","Mon Sep 29 23:08:09 PDT 2025","Create Transaction Tests ","uiTests/CreateTransactionTest.spec.js","",""
"","1775","User registration flow - Happy Path","chromium","Mon Sep 29 23:08:08 PDT 2025","passed","Mon Sep 29 23:08:09 PDT 2025","UI Tests - User Regestration","uiTests/CreateUserTest.spec.js","",""
"","856","User registration flow - Name missing","chromium","Mon Sep 29 23:08:11 PDT 2025","passed","Mon Sep 29 23:08:12 PDT 2025","UI Tests - User Regestration","uiTests/CreateUserTest.spec.js","",""
"","5","PUT /api/users/:id - Happy Path-Testing with correct userid","chromium","Mon Sep 29 23:08:08 PDT 2025","passed","Mon Sep 29 23:08:08 PDT 2025","User API","apiTests/UpdateUser.spec.js","",""
